title,x,y,z,fermo,conca,zero
Alba sui rami nudi,1947,0,no,1,1no,0
Andato al comando,1946,10436,si,1,1si,1
Angoscia in caserma,1945,16681,no,2,2no,1
Angoscia in caserma,1945,2766,si,2,2si,1
Attesa della morte in un albergo,1949,13880,no,2,2no,1
Attesa della morte in un albergo,1949,1666,si,2,2si,1
Campo di mine,1946,9686,si,1,1si,1
Chi ha messo la mina nel mare?,1948,7103,no,2,2no,1
Chi ha messo la mina nel mare?,1948,908,si,2,2si,1
Come imparare a essere morto,1983,0,no,1,1no,0
Dal terrazzo,1983,0,no,1,1no,0
Del mordersi la lingua,1975,0,no,1,1no,0
Del prendersela coi giovani,1975,0,-,1,1-,1
Desiderio in novembre,1949,9870,no,2,2no,1
Desiderio in novembre,1949,4126,si,2,2si,1
Di padre in figlio,1946,2162,no,2,2no,1
Di padre in figlio,1946,5320,si,2,2si,1
Dollari e vecchie mondane,1948,4354,no,2,2no,1
Dollari e vecchie mondane,1948,17300,si,2,2si,1
Dov'è più azzurro il fiume,1963,2885,no,2,2no,1
Dov'è più azzurro il fiume,1963,616,si,2,2si,1
"Fumo, vento e bolle di sapone",1963,546,no,2,2no,1
"Fumo, vento e bolle di sapone",1963,11831,si,2,2si,1
Funghi in città,1952,4656,no,2,2no,1
Funghi in città,1952,1635,si,2,2si,1
Furto in una pasticceria,1947,5482,no,2,2no,1
Furto in una pasticceria,1947,8595,si,2,2si,1
Gli amori delle tartarughe,1983,0,no,1,1no,0
Gli avanguardisti a Mentone,1953,24688,no,2,2no,1
Gli avanguardisti a Mentone,1953,26446,si,2,2si,1
I figli di Babbo Natale,1963,10772,no,2,2no,1
I figli di Babbo Natale,1963,3076,si,2,2si,1
I figli poltroni,1948,876,no,2,2no,1
I figli poltroni,1948,8965,si,2,2si,1
I fratelli Bagnasco,1946,3110,no,2,2no,1
I fratelli Bagnasco,1946,6106,si,2,2si,1
Il bosco degli animali,1948,4409,no,2,2no,1
Il bosco degli animali,1948,11058,si,2,2si,1
Il bosco sull'autostrada,1953,2016,no,2,2no,1
Il bosco sull'autostrada,1953,3384,si,2,2si,1
Il coniglio velenoso,1954,15258,no,2,2no,1
Il coniglio velenoso,1954,1584,si,2,2si,1
Il conte di Montecristo,1967,0,no,1,1no,0
Il fischio del merlo,1975,0,no,1,1no,0
Il gatto e il poliziotto,1948,1776,no,2,2no,1
Il gatto e il poliziotto,1948,11130,si,2,2si,1
Il giardino dei gatti ostinati,1963,9476,no,2,2no,1
Il giardino dei gatti ostinati,1963,9362,si,2,2si,1
Il giardino incantato,1948,412,no,2,2no,1
Il giardino incantato,1948,8051,si,2,2si,1
Il gorilla albino,1980,0,no,1,1no,0
Il guidatore notturno,1967,294,no,2,2no,1
Il guidatore notturno,1967,14259,si,2,2si,1
Il marmo e il sangue,1983,0,no,1,1no,0
Il modello dei modelli,1983,0,no,1,1no,0
Il mondo guarda il mondo,1982,0,no,1,1no,0
Il museo dei formaggi,1983,0,no,1,1no,0
Il piccione comunale,1952,3130,no,2,2no,1
Il piccione comunale,1952,707,si,2,2si,1
Il prato infinito,1983,0,no,1,1no,0
"Il sangue, il mare",1967,8098,no,2,2no,1
"Il sangue, il mare",1967,11863,si,2,2si,1
Il seno nudo,1977,5123,si,1,1si,1
Impiccagione di un giudice,1948,12948,no,2,2no,1
Impiccagione di un giudice,1948,2994,si,2,2si,1
L'aiola di sabbia,1977,0,no,1,1no,0
L'aria buona,1953,1154,no,2,2no,1
L'aria buona,1953,6422,si,2,2si,1
L'avventura di due sposi,1958,7484,no,2,2no,1
L'avventura di due sposi,1958,292,si,2,2si,1
L'avventura di un fotografo,1955,21666,no,2,2no,1
L'avventura di un fotografo,1955,491,si,2,2si,1
L'avventura di un impiegato,1953,8492,no,2,2no,1
L'avventura di un impiegato,1953,8604,si,2,2si,1
L'avventura di un lettore,1958,22883,no,2,2no,1
L'avventura di un lettore,1958,6895,si,2,2si,1
L'avventura di un miope,1958,7213,no,2,2no,1
L'avventura di un miope,1958,10412,si,2,2si,1
L'avventura di un poeta,1958,2667,no,2,2no,1
L'avventura di un poeta,1958,9136,si,2,2si,1
L'avventura di un soldato,1949,19741,si,1,1si,1
L'avventura di un viaggiatore,1958,3877,no,2,2no,1
L'avventura di un viaggiatore,1958,27903,si,2,2si,1
L'avventura di una bagnante,1951,21304,si,1,1si,1
L'avventura di una moglie,1958,13655,no,2,2no,1
L'avventura di una moglie,1958,771,si,2,2si,1
L'avventura di uno sciatore,1959,3890,no,2,2no,1
L'avventura di uno sciatore,1959,9924,si,2,2si,1
L'entrata in guerra,1953,20510,no,2,2no,1
L'entrata in guerra,1953,6651,si,2,2si,1
L'inseguimento,1967,25983,no,2,2no,1
L'inseguimento,1967,513,si,2,2si,1
L'invasione degli storni,1981,0,no,1,1no,0
L'occhio del padrone,1947,7133,no,2,2no,1
L'occhio del padrone,1947,2907,si,2,2si,1
L'occhio e i pianeti,1982,0,no,1,1no,0
L'ordine degli squamati,1983,0,no,1,1no,0
L'universo come specchio,1983,0,no,1,1no,0
La casa degli alveari,1949,0,no,1,1no,0
La città smarrita nella neve,1963,7821,no,2,2no,1
La città smarrita nella neve,1963,887,si,2,2si,1
La città tutta per lui,1963,955,no,2,2no,1
La città tutta per lui,1963,4137,si,2,2si,1
La contemplazione delle stelle,1983,0,no,1,1no,0
La corsa delle giraffe,1975,0,no,1,1no,0
La cura delle vespe,1953,5694,no,2,2no,1
La cura delle vespe,1953,2331,si,2,2si,1
La fame a Bévera,1947,8425,no,2,2no,1
La fame a Bévera,1947,2946,si,2,2si,1
La fermata sbagliata,1963,1839,no,2,2no,1
La fermata sbagliata,1963,11159,si,2,2si,1
La gallina di reparto,1958,0,no,1,1no,0
La memoria del mondo,1967,0,no,1,1no,0
La notte dei numeri,1958,0,no,1,1no,0
La pancia del geco,1982,0,no,1,1no,0
La pantofola spaiata,1975,0,no,1,1no,0
La pietanziera,1952,3322,no,2,2no,1
La pietanziera,1952,2971,si,2,2si,1
La pioggia e le foglie,1963,8045,no,2,2no,1
La pioggia e le foglie,1963,4443,si,2,2si,1
La signora Paulatim,1958,12919,no,2,2no,1
La signora Paulatim,1958,2218,si,2,2si,1
La spada del sole,1983,9001,no,2,2no,1
La spada del sole,1983,245,si,2,2si,1
La spirale,1965,6264,no,2,2no,1
La spirale,1965,16181,si,2,2si,1
La stessa cosa del sangue,1949,6238,no,2,2no,1
La stessa cosa del sangue,1949,6715,si,2,2si,1
La villeggiatura in panchina,1958,7864,no,2,2no,1
La villeggiatura in panchina,1958,5753,si,2,2si,1
Le notti dell'UNPA,1954,15383,no,2,2no,1
Le notti dell'UNPA,1954,23660,si,2,2si,1
Lettura di un'onda,1975,8288,no,2,2no,1
Lettura di un'onda,1975,111,si,2,2si,1
Luna di pomeriggio,1983,4495,no,2,2no,1
Luna di pomeriggio,1983,99,si,2,2si,1
Luna e Gnac,1957,0,no,1,1no,0
Mai nessuno degli uomini lo seppe,1950,3206,no,2,2no,1
Mai nessuno degli uomini lo seppe,1950,11757,si,2,2si,1
Marcovaldo al supermarket,1963,1355,no,2,2no,1
Marcovaldo al supermarket,1963,7542,si,2,2si,1
Paese infido,1953,11110,no,2,2no,1
Paese infido,1953,6629,si,2,2si,1
Paura sul sentiero,1946,1144,no,2,2no,1
Paura sul sentiero,1946,12413,si,2,2si,1
"Pesci grossi, pesci piccoli",1950,8100,no,2,2no,1
"Pesci grossi, pesci piccoli",1950,8730,si,2,2si,1
Pranzo con un pastore,1948,0,no,1,1no,0
Serpenti e teschi,1976,0,no,1,1no,0
Si dorme come cani,1948,12270,no,2,2no,1
Si dorme come cani,1948,508,si,2,2si,1
Ti con zero,1966,0,no,1,1no,0
Ultimo viene il corvo,1947,6694,no,2,2no,1
Ultimo viene il corvo,1947,4086,si,2,2si,1
Un bastimento carico di granchi,1947,8016,no,2,2no,1
Un bastimento carico di granchi,1947,1855,si,2,2si,1
Un bel gioco dura poco,1952,11911,si,1,1si,1
Un chilo e mezzo di grasso d'oca,1976,0,no,1,1no,0
Un letto di passaggio,1958,9239,no,2,2no,1
Un letto di passaggio,1958,1353,si,2,2si,1
"Un pomeriggio, Adamo",1949,2783,no,2,2no,1
"Un pomeriggio, Adamo",1949,13818,si,2,2si,1
"Un sabato di sole, sabbia e sonno",1963,2725,no,2,2no,1
"Un sabato di sole, sabbia e sonno",1963,4876,si,2,2si,1
Un viaggio con le mucche,1956,4052,no,2,2no,1
Un viaggio con le mucche,1956,4029,si,2,2si,1
Uno dei tre è ancora vivo,1949,10368,no,2,2no,1
Uno dei tre è ancora vivo,1949,4486,si,2,2si,1
Uomo nei gerbidi,1946,7853,no,2,2no,1
Uomo nei gerbidi,1946,1169,si,2,2si,1
Va' così che vai bene,1958,20127,no,2,2no,1
Va' così che vai bene,1958,7293,si,2,2si,1
Visti alla mensa,1947,0,no,1,1no,0