title,y,x
Andato al comando,10436,1946
Angoscia in caserma,2766,1945
Campo di mine,9686,1946
Chi ha messo la mina nel mare?,3335,1948
Di padre in figlio,5320,1946
Dollari e vecchie mondane,17300,1948
Furto in una pasticceria,8595,1947
I figli poltroni,8965,1948
I fratelli Bagnasco,6106,1946
Il bosco degli animali,11058,1948
Il coniglio velenoso,1233,1954
Il gatto e il poliziotto,11130,1948
Il giardino incantato,8051,1948
Il gorilla albino,596,1980
Il seno nudo,5123,1977
Impiccagione di un giudice,2994,1948
L'occhio del padrone,2907,1947
La fame a B̩vera,2946,1947
La spada del sole,245,1983
Lettura di un'onda,111,1975
Luna di pomeriggio,99,1983
Paura sul sentiero,12413,1946
Si dorme come cani,508,1948
Ultimo viene il corvo,4086,1947
Un bastimento carico di granchi,1855,1947
Un viaggio con le mucche,4029,1956
Uomo nei gerbidi,1169,1946
Alba sui rami nudi,0,1947
Dal terrazzo,0,1983
Gli amori delle tartarughe,0,1983
Il fischio del merlo,0,1975
Il marmo e il sangue,0,1983
Il museo dei formaggi,0,1983
Il prato infinito,0,1983
L'aiola di sabbia,0,1977
L'avventura di un fotografo,0,1955
L'invasione degli storni,0,1981
L'occhio e i pianeti,0,1982
L'ordine degli squamati,0,1983
L'universo come specchio,0,1983
La contemplazione delle stelle,0,1983
La corsa delle giraffe,0,1975
La gallina di reparto,0,1958
La notte dei numeri,0,1958
La pancia del geco,0,1982
La pantofola spaiata,0,1975
Luna e Gnac,0,1957
Pranzo con un pastore,0,1948
Serpenti e teschi,0,1976
Un chilo e mezzo di grasso d'oca,0,1976
Visti alla mensa,0,1947
